klaeger_name,cid
Seliciclib,160355
Selumetinib,10127622
SGI-1776,24795070
SGX-523,24779724
Silmitasertib,24748573
SNS-314,24995524
Sonolisib,9849735
Sorafenib,216239
Sotrastaurin,10296883
SU-14813,10138259
Sunitinib,5329102
TAK-285,11620908
TAK-593,24767976
TAK-733,24963252
TAK-901,16124208
Talmapimod,9871074
Tandutinib,3038522
Tanzisertib,11597537
Telatinib,9808844
Tepotinib,25171648
Tesevatinib,10458325
TG-100115,10427712
TG-100572,11712625
TG-100801,11973736
Tivantinib,11494412
Tivozanib,9911830
Tofacitinib,9926791
Tozasertib,5494449
Trametinib,11707110
UCN-01,72271
UCN-01,3078519
UCN-01,5459175
UCN-01,4616292
UCN-01,56603728
Ulixertinib,11719003
Uprosertib,51042438
Vandetanib,3081361
Varlitinib,42642648
Vatalanib,151194
Vemurafenib,42611257
Volasertib,10461508
Volitinib,68289010
VX-702,10341154
X-396,56960447
XL-019,57990869
XL-019,57990770
XL-228,59757974
XL-413,135564632
XL-413,136662663
Y-39983,9810884
